,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,0,False,0.4852285549871865,0.9704571099743732,0.037128754545069,0.0052640417163878,0.05,0.025,0,1-2
1,1,False,0.966533946605238,0.9704571099743732,-1.8525082605164076,-0.2626449737621636,0.05,0.025,1,2-3
0,0,False,0.7640790105352225,1.0,-0.722252321380486,-0.102399512078699,0.05,0.025,0,1-2
1,1,False,0.9172959166434872,1.0,-1.3974301490585936,-0.1981248951255081,0.05,0.025,1,2-3
0,0,False,0.9999999867873134,1.0,-6.04548667107118,-0.8571171972320267,0.05,0.025,0,1-2
1,1,False,0.9982983149197256,1.0,-3.001184233785184,-0.4255019916176765,0.05,0.025,1,2-3
0,0,False,0.999144764245298,1.0,-3.224399003643297,-0.4571489421993537,0.05,0.025,0,1-2
1,1,False,0.7539104590066155,1.0,-0.6894083238941507,-0.0977429547818163,0.05,0.025,1,2-3
0,0,False,0.9496822259467654,1.0,-1.6572461296815255,-0.2349610933050932,0.05,0.025,0,1-2
1,1,False,0.9999999258857588,1.0,-5.65933473288031,-0.8023693357320312,0.05,0.025,1,2-3
0,0,False,0.9999485573481134,1.0,-4.047276989319763,-0.5738149628395047,0.05,0.025,0,1-2
1,1,False,0.9995366294425482,1.0,-3.414771275296347,-0.484139548049295,0.05,0.025,1,2-3
0,0,False,0.9999999999943464,1.0,-7.684463707168909,-1.0894881344189296,0.05,0.025,0,1-2
1,1,False,0.9699841268941468,1.0,-1.9023499350471424,-0.2697114282435801,0.05,0.025,1,2-3
0,0,False,0.9999996295841992,1.0,-5.2878313060777655,-0.7496983113351369,0.05,0.025,0,1-2
1,1,False,0.9999979376769847,1.0,-4.876386046383815,-0.6913644125125965,0.05,0.025,1,2-3
0,0,False,0.9998202518249272,1.0,-3.695840460831535,-0.5239889837757861,0.05,0.025,0,1-2
1,1,False,0.8766809982538947,1.0,-1.1654480211987654,-0.1652349257884479,0.05,0.025,1,2-3
0,0,False,0.3999002321479243,0.7998004642958487,0.2542880369071011,0.0360524572035538,0.05,0.025,0,1-2
1,1,False,0.999971849333518,0.999971849333518,-4.209936891007446,-0.5968765634387964,0.05,0.025,1,2-3
0,0,False,0.9999977726008168,1.0,-4.857507413868296,-0.6886878371647912,0.05,0.025,0,1-2
1,1,False,0.934916729251824,1.0,-1.5261278988359392,-0.2163714086952224,0.05,0.025,1,2-3
0,0,False,0.9999977315243966,1.0,-4.853021409472215,-0.6880518202940339,0.05,0.025,0,1-2
1,1,False,0.9585876429478736,1.0,-1.7522635841462388,-0.2484324809187039,0.05,0.025,1,2-3
0,0,False,0.4818860647503181,0.9637721295006364,0.0455355941735333,0.006455946886638,0.05,0.025,0,1-2
1,1,False,0.9999475451088468,0.9999475451088468,-4.0419527062605605,-0.5730600964703817,0.05,0.025,1,2-3
0,0,False,0.999994778206039,1.0,-4.645833703908242,-0.6586771553322035,0.05,0.025,0,1-2
1,1,False,0.9999946231041364,1.0,-4.638466360785855,-0.6576326279299145,0.05,0.025,1,2-3
0,0,False,0.9999970857977176,1.0,-4.791297401070811,-0.6793007119116274,0.05,0.025,0,1-2
1,1,False,0.516145187367361,1.0,-0.040583557506274,-0.0057538568780466,0.05,0.025,1,2-3
0,0,False,0.9999999980124258,1.0,-6.4582756391733325,-0.9156416043870468,0.05,0.025,0,1-2
1,1,False,0.9914877560495198,1.0,-2.427171419092592,-0.3441195849275951,0.05,0.025,1,2-3
0,0,False,0.9964701728407728,1.0,-2.751306701359121,-0.3900748470555775,0.05,0.025,0,1-2
1,1,False,0.6254104395102765,1.0,-0.3206134394408128,-0.0454559421863282,0.05,0.025,1,2-3
0,0,False,0.999597377920665,1.0,-3.457427839882239,-0.4901873117895347,0.05,0.025,0,1-2
1,1,False,0.96419823949703,1.0,-1.821155376097518,-0.2581998235401226,0.05,0.025,1,2-3
0,0,False,0.9999999769125176,1.0,-5.921706641711843,-0.8395679083806505,0.05,0.025,0,1-2
1,1,False,0.99751134149503,1.0,-2.872866265644107,-0.4073093227405982,0.05,0.025,1,2-3
0,0,False,0.9737032555148738,1.0,-1.961803999199477,-0.2781407083996594,0.05,0.025,0,1-2
1,1,False,0.9976866487992264,1.0,-2.897826248326771,-0.4108480999414971,0.05,0.025,1,2-3
0,0,True,0.016711615022624,0.0334232300452481,2.157037929126724,0.3058205905875703,0.05,0.025,0,1-2
1,1,False,0.0921901376986381,0.0921901376986381,1.336712565533533,0.1895164756805141,0.05,0.025,1,2-3
0,0,False,0.996236873149012,1.0,-2.7286451274759607,-0.3868619337289222,0.05,0.025,0,1-2
1,1,False,0.77400492859963,1.0,-0.7550857789055828,-0.1070545750406294,0.05,0.025,1,2-3
